plt96,well96,locus,no,stock,stock_well
PA14_NT10145,NA,wild_type,0,NT266,A9
ExMr_nr_mas_01_1,A3,PA14_66480,1,NT267,B3
ExMr_nr_mas_01_1,A4,PA14_01720,2,NT268,B4
ExMr_nr_mas_01_1,E2,PA14_15540,3,NT269,B5
ExMr_nr_mas_01_1,E1,PA14_03760,4,NT2610,B6
ExMr_nr_mas_01_1,A12,PA14_43270,5,NT2611,B7
ExMr_nr_mas_01_1,D2,PA14_53380,6,NT2612,B8
ExMr_nr_mas_01_1,F9,PA14_54410,7,NT2613,B9
ExMr_nr_mas_01_1,F12,PA14_18110,8,NT2614,C1
ExMr_nr_mas_01_1,D3,PA14_26960,9,NT2615,C2
ExMr_nr_mas_01_1,E12,PA14_40730,10,NT2616,C3
ExMr_nr_mas_01_1,G9,PA14_17990,11,NT2617,C4
ExMr_nr_mas_01_1,G10,PA14_51310,12,NT2618,C5
ExMr_nr_mas_01_2,A12,PA14_47260,13,NT2619,C6
ExMr_nr_mas_01_2,D9,PA14_38550,14,NT2620,C7
ExMr_nr_mas_01_2,G11,PA14_34820,15,NT2621,C8
ExMr_nr_mas_01_2,G9,PA14_56840,16,NT2622,C9
ExMr_nr_mas_01_2,F3,PA14_68670,17,NT2623,D1
ExMr_nr_mas_01_2,C4,PA14_36150,18,NT2624,D2
ExMr_nr_mas_01_2,A5,PA14_43670,19,NT2625,D3
ExMr_nr_mas_01_2,F10,PA14_05540,20,NT2626,D4
ExMr_nr_mas_01_2,F8,PA14_19670,21,NT2627,D5
ExMr_nr_mas_01_2,B4,PA14_63160,22,NT2628,D6
ExMr_nr_mas_01_2,B5,PA14_02150,23,NT2629,D7
PAMr_nr_mas_02_4,H5,PA14_14850,24,NT2630,D8
PAMr_nr_mas_04_4,H5,PA14_22120,25,NT2631,D9
PAMr_nr_mas_13_3,A12,PA14_37120,26,NT2632,E1
PAMr_nr_mas_13_3,G1,PA14_21710,27,NT2633,E2
PAMr_nr_mas_14_2,B11,PA14_05620,28,NT2634,E3
PAMr_nr_mas_15_3,A12,PA14_63080,29,NT2635,E4
PAMr_nr_mas_15_3,F10,PA14_19150,30,NT2636,E5
PAMr_nr_mas_15_3,F12,PA14_52180,31,NT2637,E6
PAMr_nr_mas_15_3,C1,PA14_63580,32,NT2638,E7
PAMr_nr_mas_15_3,F8,PA14_26590,33,NT2639,E8
PAMr_nr_mas_15_3,D12,PA14_12450,34,NT2640,E9
PAMr_nr_mas_15_3,E12,PA14_60490,35,NT2641,F1
PAMr_nr_mas_15_3,A6,PA14_65520,36,NT2642,F1
PAMr_nr_mas_15_3,G12,PA14_59630,37,NT2643,F1
PAMr_nr_mas_15_3,A5,PA14_42900,38,NT2644,F1
PAMr_nr_mas_15_3,E7,PA14_49880,39,NT2645,F1
PAMr_nr_mas_15_3,C3,PA14_58050,40,NT2646,F1
ExMr_nr_mas_01_1,D8,PA14_71620,41,,
PAMr_nr_mas_11_3,C5,PA14_11130,42,,
PAMr_nr_mas_13_3,B5,PA14_65670,43,,
PAMr_nr_mas_13_4,A5,PA14_18680,44,,
PAMr_nr_mas_15_3,D3,PA14_62230,45,,
